epoch_number,average reward
0,-11.48524630394185
20,-13.208489777552424
40,-12.599192557755234
60,-13.542611479238504
80,-12.304945032830881
100,-13.17234234859789
120,-12.050352037389406
140,-12.832249244302025
160,-12.52602850718548
180,-14.808925300512385
200,-15.082337093067363
220,-17.315393760762937
240,-18.27884883951724
260,-19.226515873381008
280,-16.96539966123806
300,-15.353209404328823
320,-11.631914162597454
340,-10.326343927397392
360,-9.049733887765647
380,-11.281041632147922
400,-11.48290278337081
420,-12.752180127604449
440,-13.164351440431453
460,-15.006237774220228
480,-12.120907957056628
500,-14.573550945823243
520,-15.354555521751422
540,-15.784619512376274
560,-13.827721369812288
580,-17.41296309546618
600,-15.515304624396286
620,-14.20944679227844
640,-13.404019155943033
660,-12.51764589017456
680,-10.164297862630246
700,-12.26832766978707
720,-11.573946105115581
740,-12.348401075639764
760,-15.324437094774272
780,-16.821579318796072
800,-15.039081381832228
820,-16.811280745498603
840,-15.037995744635019
860,-13.32704898254509
880,-12.43958985708443
900,-13.457041434734409
920,-13.939742146742836
940,-14.8010819488879
960,-15.131647464946427
980,-15.1269913508999
1000,-15.727438811612583
1020,-14.726793902616686
1040,-17.13399293597843
1060,-17.661335948619584
1080,-17.307668073705873
1100,-16.150587267084266
1120,-15.322555664881863
1140,-12.913885505518781
1160,-11.825225418108841
1180,-12.075389197510688
1200,-10.607640268507016
1220,-11.260940874122086
1240,-12.011259943424982
1260,-12.152866679399176
1280,-11.404763804539055
1300,-12.544080038090415
1320,-13.517029532208117
1340,-12.783587120889017
1360,-13.365322691281598
1380,-13.147307907274842
1400,-13.307332970437844
1420,-12.899848680239865
1440,-13.270343968465944
1460,-13.80587037037052
1480,-13.991655897113809
1500,-14.573758799853033
1520,-15.135218520236833
1540,-16.648923404668007
1560,-16.769825641307396
1580,-18.76546057128293
1600,-17.503989690296592
1620,-16.478377696930615
1640,-13.801201557049401
1660,-12.863204162021255
1680,-11.877629168246738
1700,-12.045865611611207
1720,-13.225026940345687
1740,-12.804710961487341
1760,-13.510975215882823
1780,-12.259745961184613
1800,-13.244057364790741
1820,-13.170194290351553
1840,-12.826046790739202
1860,-12.797116832717776
1880,-13.494752203130366
1900,-15.54128865695473
1920,-15.540008495907719
1940,-17.270847284866694
1960,-15.616746636588864
1980,-15.148636511951524
2000,-13.54348614616374
2020,-13.718131694911612
2040,-13.17557837319693
2060,-13.933888241363839
2080,-12.182134124679703
2100,-11.533856098000173
2120,-11.548941796363312
2140,-13.493170207789833
2160,-13.548245945542405
2180,-15.191219147212806
2200,-15.358676695925375
2220,-14.74272552935716
2240,-13.78803165673499
2260,-14.607715871201002
2280,-16.474173706831213
2300,-15.481007176387926
2320,-15.20501850662759
2340,-15.346415582769247
2360,-14.564222891432104
2380,-12.224145474193735
2400,-13.042811434971249
2420,-12.02226502295299
2440,-11.06208684031663
2460,-11.082768128855857
2480,-14.659135958930747
2500,-14.924225868474302
2520,-15.642917067416807
2540,-14.578795300890027
2560,-14.532080638947434
2580,-11.982672582522621
2600,-12.79479241206722
2620,-12.88310371207432
2640,-12.535639761431632
2660,-13.638625119942876
2680,-13.745573728543155
2700,-12.175961894990515
2720,-12.251026364897903
2740,-13.144868273400133
2760,-11.672729748998982
2780,-13.282303582423994
2800,-12.536467098670943
2820,-12.26052505185452
2840,-13.212957879701035
2860,-13.010910741447121
2880,-12.147483126952938
2900,-12.818711100010532
2920,-12.071523501179863
2940,-11.489196570064967
2960,-12.865341463725942
2980,-12.271646025950222
