epoch_number,average reward
50,0.26
100,0.36
150,0.36
200,0.68
250,0.32
300,0.18
350,0.48
450,1.66
500,0.5
550,0.6
600,0.5
650,0.5
700,0.34
800,1.04
850,0.32
900,0.34
950,0.56
1000,0.22
1050,0.22
1100,0.76
1150,0.4
1200,0.26
1250,0.22
1300,0.86
1400,1.02
1450,0.86
1500,0.26
1550,0.32
1600,0.5
1650,0.28
1700,0.34
1750,0.2
1800,0.36
1850,0.22
1900,0.56
1950,0.52
2000,0.42
2050,0.26
2100,0.24
2150,0.62
2200,0.42
2250,0.98
2300,0.74
2350,0.26
2400,0.36
2450,0.24
2500,0.52
2550,0.3
2600,0.22
2650,0.26
2700,0.24
2750,0.42
2800,0.16
2850,0.4
2900,0.5
2950,0.9
3000,0.3
3050,0.26
3100,0.92
3150,0.26
3200,0.4
3250,0.64
3300,0.8
3350,0.18
3400,0.62
3450,0.5
3500,0.34
3550,0.32
3600,0.56
3650,0.24
3700,0.3
3750,0.32
3800,0.42
3850,0.26
3900,0.24
3950,0.4
4000,0.4
4050,0.22
4100,0.5
4150,0.28
4200,0.56
4250,0.52
4300,0.3
4350,0.22
4400,0.2
4450,0.4
4500,0.26
4550,0.4
4600,0.48
4650,0.26
4700,0.22
4750,0.46
4800,0.36
4850,0.4
4900,0.64
4950,0.18
5050,1.18
5100,0.54
5150,0.24
5200,0.22
5250,0.22
5300,0.46
5350,0.26
5400,0.2
5450,0.3
5500,0.32
5550,0.2
5600,0.22
5650,0.22
5700,0.2
5750,0.4
5800,0.36
5850,0.22
5900,0.34
5950,0.28
6000,0.54
6050,0.7
6100,0.28
6150,0.52
6200,0.28
6250,0.46
6300,0.48
6350,0.54
6400,0.66
6450,0.4
6500,0.52
6550,0.26
6650,0.74
6700,0.2
6750,0.36
6800,0.4
6850,0.52
6900,0.2
6950,0.56
7000,0.3
7050,0.4
7100,0.3
7150,0.38
7200,0.18
7250,0.46
7300,0.22
7350,0.42
7400,0.5
7450,0.24
7500,0.38
7550,0.28
7600,0.2
7650,0.24
7700,0.46
7750,0.46
7800,0.7
7850,0.3
7900,0.54
7950,0.32
8000,0.24
8050,0.32
8100,0.36
8150,0.58
8250,1.16
8300,0.36
8350,0.82
8400,0.5
8450,0.3
8500,0.28
8550,0.3
8600,0.32
8650,0.24
8700,0.24
8750,0.36
8800,0.22
8850,0.26
8900,0.26
8950,0.36
9000,0.34
9050,0.58
9100,0.78
9150,0.24
9250,1.12
9300,0.34
9350,0.62
9400,0.54
9450,0.26
9500,0.36
9550,0.22
9600,0.52
9650,0.32
9700,0.32
9750,0.58
9800,0.34
9850,0.56
9900,0.74
9950,0.46
