epoch_number,average reward
0,0.09
100,9.41
200,9.39
300,9.41
400,9.4
500,9.32
600,9.46
700,9.51
800,9.42
900,9.35
1000,9.43
1100,9.31
1200,9.32
1300,9.39
1400,9.45
1500,9.26
1600,9.3
1700,9.28
1800,9.35
1900,9.52
2000,9.39
2100,9.47
2200,9.44
2300,9.41
2400,9.31
2500,9.29
2600,9.29
2700,9.3
2800,9.32
2900,9.38
3000,9.39
3100,9.33
3200,9.22
3300,9.32
3400,9.32
3500,9.28
3600,9.43
3700,9.36
3800,9.38
3900,9.33
4000,9.26
4100,9.38
4200,9.18
4300,9.44
4400,9.32
4500,9.4
4600,9.4
4700,9.37
4800,9.35
4900,9.41
5000,9.34
5100,9.36
5200,9.34
5300,9.36
5400,9.34
5500,9.24
5600,9.33
5700,9.38
5800,9.37
5900,9.37
6000,9.22
6100,9.32
6200,9.37
6300,9.29
6400,9.34
6500,9.3
6600,9.45
6700,9.33
6800,9.3
6900,9.36
7000,9.34
7100,9.43
7200,9.36
7300,9.32
7400,9.34
7500,9.25
7600,9.35
7700,9.29
7800,9.24
7900,9.4
8000,9.39
8100,9.27
8200,9.39
8300,9.33
8400,9.35
8500,9.34
8600,9.27
8700,9.32
8800,9.36
8900,9.34
9000,9.32
9100,9.26
9200,9.31
9300,9.23
9400,9.37
9500,9.34
9600,9.55
9700,9.38
9800,9.38
9900,9.41
