epoch_number,average reward
0,-52.89294387360385
20,-1499.8441637058206
40,-1438.56371982552
60,-1408.7507205285137
80,-1523.4183203329374
100,-1601.3412827663522
120,-1504.7787892767349
140,-1500.00558797123
160,-1525.6500916558227
180,-1402.2360905332519
200,-1318.9202825220186
220,-1087.4115155909935
240,-1100.4667839192603
260,-1088.7700719261727
280,-885.1297365978737
300,-1103.9641244481068
320,-1037.5166742549216
340,-1033.5325679232762
360,-1083.5523930660274
380,-982.1260636544321
400,-972.5907954459775
420,-837.6461411024578
440,-716.7287522397394
460,-519.720425930085
480,-565.7628413456466
500,-423.01673120348426
520,-435.10897449388096
540,-437.98223883568136
560,-648.7397737186287
580,-565.4345314836339
600,-288.18606885530585
620,-588.6289039521837
640,-439.1922348538963
660,-362.6340739807881
680,-341.37159863128124
700,-327.4303570220235
720,-276.6598372818413
740,-247.150276291542
760,-211.49180453527987
780,-187.4231196812694
800,-232.82390466459842
820,-253.27620650857816
840,-315.62060941584656
860,-299.9986299755926
880,-546.6173442866519
900,-481.618851229851
920,-303.6083716456668
940,-495.64768286346845
960,-313.01780606447653
980,-682.5905007238798
1000,-509.1956590451843
1020,-243.29880174712693
1040,-249.32202942225112
1060,-386.76343079320316
1080,-133.27423395830482
1100,-445.07375755885676
1120,-342.0866138410703
1140,-227.25735157119084
1160,-164.4142162131546
1180,-184.7446728965228
1200,-162.08478398696087
1220,-214.88966131997623
1240,-224.46407525215687
1260,-172.80440832674222
1280,-151.10886556538802
1300,-194.52056073877762
1320,-190.2180332018431
1340,-115.4444280762956
1360,-176.12497010496065
1380,-202.29262296099338
1400,-259.3122092053204
1420,-941.6607486003397
1440,-1153.4001469765708
1460,-1329.8136378061242
1480,-1036.283531095112
1500,-1188.6145880154002
1520,-909.459118024923
1540,-560.1187481407122
1560,-639.8162680574645
1580,-550.7715341615788
1600,-325.29863027831044
1620,-585.8827252663779
1640,-577.1298580047746
1660,-532.3759873176915
1680,-273.7147166546315
1700,-151.39435843327988
1720,-187.2406820781145
1740,-251.89061405828483
1760,-295.7295405888092
1780,-187.38151085559753
1800,-174.93009029079727
1820,-174.84257369348273
1840,-157.05353020883368
1860,-216.99643592631816
1880,-395.8854916773802
1900,-360.4893232573855
1920,-184.11256444992028
1940,-182.18996389852538
1960,-169.23634082247628
1980,-198.0547077284935
