epoch_number,average reward
0,10.0
50,440.44
100,493.8
150,496.68
200,498.64
250,439.26
300,397.4
350,459.48
400,455.98
450,484.72
500,500.0
550,488.2
600,491.94
650,496.68
700,480.26
750,441.24
800,440.62
850,494.88
900,494.54
950,494.84
1000,500.0
1050,476.06
1100,433.7
1150,351.74
1200,262.28
1250,258.98
1300,233.98
1350,347.54
1400,493.38
1450,492.68
1500,472.28
1550,497.12
1600,473.48
1650,384.2
1700,390.84
1750,447.72
1800,494.72
1850,487.76
1900,495.5
1950,447.34
2000,446.0
2050,500.0
2100,497.26
2150,500.0
2200,500.0
2250,500.0
2300,274.48
2350,490.56
2400,500.0
2450,500.0
2500,500.0
2550,500.0
2600,500.0
2650,493.28
2700,490.28
2750,500.0
2800,500.0
2850,500.0
2900,500.0
2950,500.0
3000,485.86
3050,500.0
3100,500.0
3150,500.0
3200,500.0
3250,383.3
3300,223.34
3350,434.5
3400,500.0
3450,500.0
3500,497.5
3550,500.0
3600,500.0
3650,500.0
3700,500.0
3750,351.72
3800,336.02
3850,497.3
3900,488.48
3950,500.0
4000,500.0
4050,500.0
4100,500.0
4150,500.0
4200,500.0
4250,500.0
4300,489.56
4350,500.0
4400,468.16
4450,450.38
4500,497.58
4550,500.0
4600,497.76
4650,499.56
4700,500.0
4750,500.0
4800,500.0
4850,500.0
4900,500.0
4950,500.0
5000,500.0
5050,433.94
5100,492.1
5150,500.0
5200,490.24
5250,490.24
5300,340.06
5350,291.96
5400,200.66
5450,235.32
5500,416.92
5550,485.9
5600,494.96
5650,500.0
5700,453.26
5750,491.82
5800,418.4
5850,360.5
5900,451.2
5950,495.14
6000,476.1
6050,429.06
6100,355.22
6150,287.18
6200,295.42
6250,458.46
6300,480.96
6350,500.0
6400,490.08
6450,406.9
6500,450.56
6550,490.26
6600,435.76
6650,488.88
6700,495.8
6750,359.6
6800,382.02
6850,480.46
6900,490.2
6950,500.0
7000,490.22
7050,500.0
7100,500.0
7150,500.0
7200,458.56
7250,421.84
7300,446.64
7350,500.0
7400,482.36
7450,314.36
7500,242.12
7550,397.66
7600,461.22
7650,500.0
7700,480.6
7750,306.4
7800,277.94
7850,149.48
7900,159.78
7950,372.1
8000,498.98
8050,500.0
8100,380.16
8150,456.58
8200,373.22
8250,421.7
8300,288.88
8350,491.3
8400,500.0
8450,500.0
8500,500.0
8550,490.24
8600,490.22
8650,500.0
8700,500.0
8750,500.0
8800,500.0
8850,500.0
8900,500.0
8950,500.0
9000,500.0
9050,500.0
9100,500.0
9150,328.88
9200,405.78
9250,457.12
9300,474.9
9350,500.0
9400,471.22
9450,488.2
9500,455.84
9550,490.26
9600,485.8
9650,500.0
9700,500.0
9750,500.0
9800,500.0
9850,500.0
9900,490.22
9950,500.0
