epoch_number,average reward
0,0.4
50,21.14
100,47.42
150,36.7
200,67.36
6550,399.84
250,185.86
300,122.06
350,121.82
400,245.54
450,157.92
500,236.58
550,265.4
600,207.68
650,285.28
700,185.22
750,183.16
800,164.64
850,118.92
900,200.46
950,208.04
1000,218.86
1050,267.16
1100,159.18
1150,234.92
1200,269.3
1250,306.58
1300,120.98
1350,287.3
1400,211.48
1450,140.12
1500,316.1
1550,368.16
1600,125.9
1650,221.14
1700,156.64
1750,300.6
1800,187.5
1850,251.86
1900,284.58
1950,375.54
2000,261.9
2050,336.44
2100,363.02
2150,339.94
2200,290.28
2250,319.9
2300,372.5
2350,145.44
2400,390.06
2450,426.66
2500,384.32
2550,291.78
2600,500.0
2650,403.0
2700,185.3
2750,197.4
2800,376.4
2850,390.58
2900,347.38
2950,295.04
3000,270.96
3050,117.4
3100,236.12
3150,435.34
3200,422.7
3250,498.52
3300,425.86
3350,380.82
3400,333.48
3450,439.38
3500,307.92
3550,432.62
3600,352.08
3650,362.18
3700,401.66
3750,322.9
3800,381.2
3850,306.94
3900,482.92
3950,381.96
4000,187.16
4050,269.92
4100,370.58
4150,383.12
4200,182.24
4250,139.36
4300,231.78
4350,462.9
4400,448.8
4450,483.66
4500,433.28
4550,440.02
4600,361.6
4650,473.96
4700,443.3
4750,453.14
4800,376.7
4850,377.18
4900,475.6
4950,495.52
5000,317.56
5050,462.88
5100,298.4
5150,133.62
5200,204.16
5250,277.16
5300,217.88
5350,467.54
5400,475.94
5450,476.82
5500,432.9
5550,471.04
5600,481.34
5650,267.08
5700,280.88
5750,139.42
5800,355.96
5850,482.6
5900,456.92
5950,403.66
6000,363.8
6050,278.34
6100,355.3
6150,296.2
6200,327.84
6250,407.24
6300,486.44
6350,414.58
6400,326.82
6450,357.52
6500,216.3
6550,409.08
6600,212.08
6650,404.74
6700,243.72
6750,488.26
6800,415.56
6850,480.56
6900,324.0
6950,495.18
7000,278.76
7050,268.98
7100,397.56
7150,369.1
7200,414.82
7250,112.4
7300,306.18
7350,355.14
7400,492.74
7450,470.46
7500,350.54
7550,335.78
7600,275.92
7650,388.0
7700,360.54
7750,500.0
7800,421.8
7850,485.76
7900,173.88
7950,284.86
8000,291.38
8050,342.2
8100,400.26
8150,490.14
8200,384.0
8250,445.34
8300,410.34
8350,247.48
8400,447.68
8450,426.58
8500,241.1
8550,465.32
8600,492.32
8650,482.54
8700,410.7
8750,464.94
8800,274.64
8850,306.24
8900,167.94
8950,282.96
9000,98.68
9050,229.08
9100,310.04
9150,376.0
9200,262.5
9250,454.08
9300,384.64
9350,480.58
9400,426.88
9450,500.0
9500,478.88
9550,429.58
9600,288.36
9650,496.1
9700,450.18
9750,429.3
9800,366.36
9850,459.64
9900,434.64
9950,383.38
