epoch_number,average reward
0,10.0
50,498.82
100,490.02
150,473.24
200,489.28
250,490.42
300,500.0
350,500.0
400,500.0
450,500.0
500,500.0
550,500.0
600,500.0
650,500.0
700,500.0
750,500.0
800,500.0
850,500.0
900,500.0
950,500.0
1000,492.08
1050,500.0
1100,500.0
1150,500.0
1200,498.08
1250,500.0
1300,482.44
1350,491.68
1400,486.58
1450,406.04
1500,420.5
1550,448.04
1600,490.38
1650,500.0
1700,475.58
1750,486.12
1800,494.98
1850,498.08
1900,488.0
1950,468.26
2000,500.0
2050,500.0
2100,492.84
2150,500.0
2200,499.52
2250,500.0
2300,499.04
2350,492.32
2400,498.08
2450,493.24
2500,474.34
2550,493.2
2600,500.0
2650,492.16
2700,497.8
2750,490.98
2800,485.1
2850,496.98
2900,496.3
2950,496.84
3000,495.72
3050,500.0
3100,500.0
3150,492.38
3200,500.0
3250,494.32
3300,484.8
3350,491.4
3400,500.0
3450,488.86
3500,498.2
3550,500.0
3600,484.6
3650,498.2
3700,483.84
3750,457.72
3800,452.42
3850,480.6
3900,470.68
3950,498.0
4000,472.3
4050,498.64
4100,488.08
4150,481.96
4200,490.92
4250,494.82
4300,488.28
4350,489.8
4400,491.2
4450,494.94
4500,496.32
4550,493.08
4600,489.8
4650,443.32
4700,416.38
4750,476.16
4800,490.1
4850,451.1
4900,313.46
4950,354.48
5000,468.66
5050,463.74
5100,488.02
5150,499.66
5200,492.14
5250,469.68
5300,487.24
5350,468.88
5400,491.74
5450,477.86
5500,404.34
5550,396.34
5600,487.26
5650,453.32
5700,476.96
5750,491.94
5800,488.32
5850,473.32
5900,433.0
5950,428.28
6000,500.0
6050,498.78
6100,499.44
6150,500.0
6200,472.26
6250,491.9
6300,487.94
6350,495.36
6400,490.44
6450,484.1
6500,500.0
6550,494.46
6600,489.72
6650,500.0
6700,492.84
6750,500.0
6800,500.0
6850,500.0
6900,500.0
6950,500.0
7000,496.36
7050,500.0
7100,491.58
7150,465.18
7200,500.0
7250,500.0
7300,500.0
7350,500.0
7400,475.98
7450,399.6
7500,448.1
7550,466.78
7600,431.56
7650,427.44
7700,401.26
7750,455.04
7800,479.36
7850,474.18
7900,470.52
7950,476.02
8000,464.92
8050,484.18
8100,475.44
8150,491.96
8200,499.32
8250,500.0
8300,500.0
8350,500.0
8400,491.52
8450,500.0
8500,500.0
8550,492.9
8600,491.6
