steps,reward
50,17.0
100,16.8
150,18.4
200,20.3
250,20.2
300,18.7
350,16.3
400,14.5
450,19.9
500,22.7
550,19.3
600,16.8
650,22.6
700,15.9
750,22.5
800,24.8
850,21.3
900,24.4
950,34.1
1000,22.4
1050,24.9
1100,27.6
1150,30.7
1200,41.2
1250,36.9
1300,35.8
1350,26.2
1400,38.7
1450,35.9
1500,37.9
1550,30.9
1600,28.2
1650,52.3
1700,44.4
1750,37.1
1800,35.6
1850,38.1
1900,50.4
1950,41.7
2000,37.4
2050,67.6
2100,39.3
2150,48.0
2200,44.6
2250,39.7
2300,34.1
2350,47.8
2400,40.5
2450,41.1
2500,39.3
2550,55.7
2600,41.3
2650,40.2
2700,44.4
2750,57.6
2800,51.9
2850,57.3
2900,51.6
2950,77.3
3000,63.3
3050,55.4
3100,56.6
3150,56.7
3200,57.2
3250,56.1
3300,48.6
3350,79.5
3400,62.8
3450,71.3
3500,52.4
3550,74.7
3600,73.0
3650,51.5
3700,52.4
3750,78.7
3800,80.0
3850,66.1
3900,63.3
3950,56.8
4000,75.4
4050,85.6
4100,97.3
4150,78.2
4200,55.4
4250,54.4
4300,68.2
4350,85.4
4400,78.8
4450,77.4
4500,91.8
4550,95.4
4600,84.7
4650,78.2
4700,100.9
4750,73.2
4800,107.8
4850,74.0
4900,89.1
4950,110.7
5000,98.0
5050,75.0
5100,103.5
5150,101.8
5200,94.8
5250,86.4
5300,135.5
5350,109.1
5400,102.7
5450,100.4
5500,163.0
5550,122.0
5600,111.9
5650,116.1
5700,100.9
5750,99.3
5800,147.2
5850,128.6
5900,128.9
5950,145.5
6000,128.8
6050,126.0
6100,120.4
6150,150.1
6200,125.2
6250,93.3
6300,105.5
6350,125.5
6400,127.7
6450,134.0
6500,126.9
6550,139.7
6600,134.6
6650,145.4
6700,112.8
6750,129.9
6800,131.0
6850,126.3
6900,205.6
6950,104.1
7000,143.8
7050,185.1
7100,152.7
7150,159.2
7200,168.4
7250,166.7
7300,210.0
7350,165.4
7400,156.2
7450,154.0
7500,144.5
7550,185.2
7600,117.4
7650,173.0
7700,181.1
7750,163.4
7800,170.5
7850,145.5
7900,111.4
7950,134.5
8000,196.2
8050,167.3
8100,167.7
8150,175.1
8200,149.3
8250,171.7
8300,194.1
8350,129.7
8400,146.7
8450,190.9
8500,188.6
8550,144.9
8600,123.1
8650,192.1
8700,176.1
8750,89.3
8800,168.3
8850,136.4
8900,160.3
8950,200.2
9000,170.4
9050,175.4
9100,154.6
9150,134.2
9200,128.8
9250,150.4
9300,173.8
9350,121.5
9400,150.3
9450,156.0
9500,190.9
9550,165.0
9600,206.3
9650,152.1
9700,130.0
9750,148.4
9800,163.3
9850,152.0
9900,151.6
9950,174.2
10000,174.4
10050,193.3
10100,170.3
10150,196.9
10200,210.8
10250,141.5
10300,174.2
10350,191.9
10400,162.9
10450,164.1
10500,164.5
10550,201.5
10600,215.8
10650,215.9
10700,162.3
10750,194.7
10800,114.4
10850,146.2
10900,190.0
10950,170.7
11000,174.8
11050,201.2
11100,219.0
11150,199.9
11200,165.6
11250,288.9
11300,190.6
11350,210.0
11400,156.5
11450,205.2
11500,162.5
11550,210.7
11600,207.0
11650,221.4
11700,230.6
11750,242.2
11800,204.8
11850,233.1
11900,253.7
11950,194.4
12000,300.5
12050,175.3
12100,178.2
12150,222.7
12200,189.4
12250,190.0
12300,164.2
12350,192.8
12400,199.3
12450,144.1
12500,168.8
12550,186.1
12600,239.4
12650,213.2
12700,223.3
12750,250.8
12800,249.2
12850,236.2
12900,227.1
12950,226.6
13000,242.9
13050,225.6
13100,231.7
13150,222.5
13200,212.0
13250,204.6
13300,218.6
13350,186.0
13400,234.3
13450,191.2
13500,178.9
13550,208.5
13600,203.1
13650,209.9
13700,270.5
13750,238.7
13800,279.7
13850,256.9
13900,243.5
13950,202.3
14000,223.8
14050,278.7
14100,267.1
14150,263.3
14200,262.0
14250,306.0
14300,281.6
14350,285.7
14400,300.6
14450,221.4
14500,213.8
14550,261.0
14600,257.0
14650,219.9
14700,302.7
14750,307.0
14800,264.4
14850,305.4
14900,232.4
14950,204.7
15000,148.9
15050,182.3
15100,150.2
15150,185.8
15200,204.5
15250,171.9
15300,204.5
15350,181.7
15400,190.6
15450,196.1
15500,224.9
15550,206.1
15600,202.8
15650,221.2
15700,249.6
15750,223.3
15800,294.9
15850,238.9
15900,207.3
15950,229.8
16000,227.1
16050,236.9
16100,240.6
16150,219.5
16200,260.0
16250,188.3
16300,227.3
16350,228.6
16400,273.9
16450,276.0
16500,201.2
16550,267.6
16600,206.5
16650,252.0
16700,243.8
16750,254.3
16800,248.3
16850,222.2
16900,250.6
16950,280.9
17000,316.1
17050,319.2
17100,279.7
17150,281.2
17200,297.6
17250,310.2
17300,348.1
17350,273.3
17400,263.0
17450,266.0
17500,237.1
17550,274.9
17600,246.1
17650,260.9
17700,229.5
17750,236.7
17800,268.8
17850,244.4
17900,221.7
17950,247.2
18000,246.7
18050,282.1
18100,242.6
18150,267.7
18200,264.5
18250,243.6
18300,215.3
18350,265.6
18400,254.2
18450,288.4
18500,299.5
18550,339.3
18600,281.7
18650,314.0
18700,287.3
18750,256.8
18800,311.5
18850,232.9
18900,339.1
18950,331.0
19000,266.7
19050,245.0
19100,357.6
19150,314.3
19200,287.8
19250,351.6
19300,245.8
19350,299.2
19400,253.4
19450,264.4
19500,273.7
19550,324.0
19600,358.6
19650,288.6
19700,271.3
19750,295.1
19800,301.1
19850,287.7
19900,293.4
19950,268.4
20000,337.9
20050,305.6
20100,263.5
20150,285.0
20200,280.6
20250,307.9
20300,310.1
20350,299.2
20400,288.9
20450,282.5
20500,373.4
20550,302.5
20600,304.1
20650,320.2
20700,285.0
20750,315.7
20800,338.4
20850,294.8
20900,249.2
20950,243.4
21000,316.8
21050,243.0
21100,283.7
21150,308.1
21200,346.4
21250,276.8
21300,328.7
21350,298.5
21400,315.4
21450,315.7
21500,357.8
21550,337.1
21600,297.5
21650,379.8
21700,296.3
21750,414.7
21800,315.9
21850,280.5
21900,339.6
21950,331.2
22000,335.9
22050,408.6
22100,432.3
22150,413.3
22200,452.8
22250,305.5
22300,405.2
22350,396.5
22400,368.6
22450,309.6
22500,287.0
22550,337.9
22600,327.3
22650,316.6
22700,355.1
22750,342.6
22800,295.8
22850,312.6
22900,424.6
22950,342.6
23000,363.8
23050,386.2
23100,371.3
23150,400.2
23200,378.2
23250,267.2
23300,375.6
23350,388.9
23400,357.7
23450,412.8
23500,379.9
23550,325.1
23600,253.3
23650,245.2
23700,285.6
23750,212.6
23800,236.9
23850,234.6
23900,279.8
23950,291.6
24000,250.6
24050,257.3
24100,278.8
24150,356.1
24200,327.9
24250,358.8
24300,269.3
24350,321.8
24400,325.0
24450,394.4
24500,389.9
24550,369.7
24600,383.1
24650,382.5
24700,436.3
24750,360.7
24800,298.9
24850,377.5
24900,360.7
24950,362.0
25000,378.0
25050,298.5
25100,341.5
25150,317.2
25200,329.4
25250,348.4
25300,297.8
25350,336.7
25400,358.7
25450,359.1
25500,380.2
25550,404.0
25600,421.5
25650,391.5
25700,393.5
25750,393.9
25800,351.8
25850,417.0
25900,392.5
25950,419.7
26000,413.0
26050,448.2
26100,410.8
26150,419.0
26200,431.8
26250,412.5
26300,448.7
26350,444.0
26400,389.0
26450,411.9
26500,427.6
26550,296.4
26600,371.7
26650,387.3
26700,357.4
26750,356.4
26800,442.3
26850,393.7
26900,408.0
26950,434.2
27000,388.3
27050,423.6
27100,379.2
27150,371.3
27200,350.3
27250,441.7
27300,442.4
27350,391.1
27400,409.4
27450,397.5
27500,385.0
27550,402.5
27600,419.0
27650,376.3
27700,444.6
27750,337.2
27800,307.0
27850,396.5
27900,370.6
27950,432.2
28000,383.8
28050,350.1
28100,420.5
28150,392.1
28200,446.6
28250,348.5
28300,411.9
28350,362.5
28400,341.8
28450,345.6
28500,357.6
28550,272.6
28600,388.0
28650,372.2
28700,427.7
28750,415.8
28800,345.7
28850,449.1
28900,462.3
28950,455.7
29000,360.3
29050,364.1
29100,385.8
29150,456.6
29200,466.9
29250,427.0
29300,454.7
29350,465.2
29400,404.8
29450,456.7
29500,485.1
29550,493.4
29600,429.6
29650,435.1
29700,460.0
29750,453.0
29800,467.5
29850,419.1
29900,440.1
29950,449.3
30000,448.6
30050,343.1
30100,369.5
30150,412.4
30200,471.0
30250,469.0
30300,446.8
30350,444.2
30400,424.4
30450,369.3
30500,384.8
30550,354.4
30600,291.6
30650,295.7
30700,272.1
30750,433.7
30800,465.8
30850,450.5
30900,466.9
30950,370.0
31000,412.3
31050,473.0
31100,458.2
31150,395.6
31200,397.8
31250,455.5
31300,460.4
31350,461.4
31400,437.4
31450,381.2
31500,429.6
31550,390.8
31600,462.9
31650,358.3
31700,437.9
31750,416.8
31800,467.4
31850,437.4
31900,484.6
31950,459.2
32000,472.5
32050,467.0
32100,474.8
32150,428.8
32200,448.1
32250,442.2
32300,482.1
32350,401.1
32400,444.5
32450,470.1
32500,439.6
32550,447.5
32600,432.2
32650,469.6
32700,456.6
32750,492.6
32800,490.3
32850,416.3
32900,490.3
32950,442.2
33000,458.5
33050,450.6
33100,463.5
33150,462.0
33200,426.3
