epoch_number,reward
0,25.0
1,11.0
2,29.0
3,21.0
4,34.0
5,20.0
6,44.0
7,52.0
8,13.0
9,102.0
10,99.0
11,129.0
12,31.0
13,77.0
14,98.0
15,116.0
16,34.0
17,171.0
18,367.0
19,302.0
20,228.0
21,193.0
22,95.0
23,206.0
24,339.0
25,254.0
26,191.0
27,288.0
28,500.0
29,225.0
30,141.0
31,121.0
32,178.0
33,286.0
34,271.0
35,228.0
36,352.0
37,280.0
38,303.0
39,471.0
40,330.0
41,363.0
42,453.0
43,454.0
44,304.0
45,222.0
46,500.0
47,315.0
48,227.0
49,298.0
50,322.0
51,312.0
52,298.0
53,219.0
54,205.0
55,296.0
56,277.0
57,328.0
58,500.0
59,500.0
60,256.0
61,327.0
62,301.0
63,249.0
64,208.0
65,500.0
66,357.0
67,500.0
68,403.0
69,286.0
70,409.0
71,257.0
72,356.0
73,216.0
74,224.0
75,500.0
76,351.0
77,500.0
78,482.0
79,396.0
80,364.0
81,500.0
82,381.0
83,217.0
84,149.0
85,353.0
86,500.0
87,500.0
88,500.0
89,500.0
90,298.0
91,437.0
92,500.0
93,500.0
94,428.0
95,500.0
96,436.0
97,500.0
98,500.0
99,500.0
100,479.0
101,442.0
102,500.0
103,500.0
104,500.0
105,500.0
106,500.0
107,500.0
108,500.0
109,500.0
110,371.0
111,431.0
112,458.0
113,214.0
114,500.0
115,470.0
116,500.0
117,500.0
118,500.0
119,500.0
120,400.0
121,500.0
122,500.0
123,500.0
124,500.0
125,500.0
126,337.0
127,500.0
128,500.0
129,289.0
130,441.0
131,420.0
132,347.0
133,466.0
134,348.0
135,500.0
136,500.0
137,500.0
138,499.0
139,500.0
140,500.0
141,500.0
142,500.0
143,500.0
144,500.0
145,500.0
146,500.0
147,500.0
148,500.0
149,385.0
150,322.0
151,418.0
152,500.0
153,500.0
154,500.0
155,500.0
156,500.0
157,500.0
158,500.0
159,500.0
160,500.0
161,500.0
162,424.0
163,500.0
164,500.0
165,500.0
166,500.0
167,500.0
168,500.0
169,500.0
170,94.0
171,344.0
172,364.0
173,500.0
174,500.0
175,500.0
176,500.0
177,500.0
178,500.0
179,500.0
180,500.0
181,500.0
182,500.0
183,500.0
184,500.0
185,500.0
186,500.0
187,500.0
188,500.0
189,500.0
190,500.0
191,500.0
192,500.0
193,500.0
194,500.0
195,500.0
196,500.0
197,500.0
198,500.0
199,500.0
200,500.0
201,500.0
202,500.0
203,500.0
204,500.0
205,414.0
206,314.0
207,500.0
208,500.0
209,500.0
210,500.0
211,500.0
212,500.0
213,500.0
214,500.0
215,500.0
216,500.0
217,500.0
218,500.0
219,500.0
220,500.0
221,500.0
222,500.0
223,500.0
224,500.0
225,500.0
226,500.0
227,500.0
228,500.0
229,500.0
230,500.0
231,500.0
232,500.0
233,500.0
234,429.0
235,500.0
236,500.0
237,500.0
238,247.0
239,500.0
240,500.0
241,500.0
242,500.0
243,500.0
244,500.0
245,500.0
246,500.0
247,500.0
248,500.0
249,500.0
250,500.0
251,500.0
252,500.0
253,500.0
254,500.0
255,500.0
256,500.0
257,500.0
258,500.0
259,500.0
260,500.0
261,500.0
262,500.0
263,500.0
264,500.0
265,500.0
266,500.0
267,500.0
268,500.0
269,500.0
270,500.0
271,288.0
272,500.0
273,500.0
274,500.0
275,500.0
276,500.0
277,500.0
278,500.0
279,500.0
280,500.0
281,500.0
282,500.0
283,500.0
284,500.0
285,500.0
286,500.0
287,500.0
288,500.0
289,500.0
290,500.0
291,500.0
292,500.0
293,500.0
294,500.0
295,500.0
296,500.0
297,500.0
298,500.0
299,500.0
300,500.0
301,500.0
302,500.0
303,500.0
304,500.0
305,498.0
306,500.0
307,500.0
308,500.0
309,500.0
310,500.0
311,500.0
312,500.0
313,500.0
314,500.0
315,500.0
316,500.0
317,500.0
318,500.0
319,500.0
320,500.0
321,500.0
322,500.0
323,500.0
324,500.0
325,500.0
326,500.0
327,500.0
328,500.0
329,500.0
330,500.0
331,500.0
332,500.0
333,500.0
334,500.0
335,500.0
336,500.0
337,500.0
338,500.0
339,500.0
340,500.0
341,500.0
342,500.0
343,500.0
344,500.0
345,500.0
346,500.0
347,500.0
348,500.0
349,500.0
350,500.0
351,500.0
352,500.0
353,331.0
354,500.0
355,500.0
356,500.0
357,500.0
358,500.0
359,500.0
360,500.0
361,500.0
362,500.0
363,500.0
364,500.0
365,500.0
366,500.0
367,500.0
368,500.0
369,500.0
370,500.0
371,500.0
372,500.0
373,500.0
374,500.0
375,500.0
376,500.0
377,500.0
378,500.0
379,500.0
380,500.0
381,500.0
382,500.0
383,500.0
384,500.0
385,500.0
386,500.0
387,500.0
388,500.0
389,500.0
390,500.0
391,500.0
392,500.0
393,500.0
394,500.0
395,500.0
396,500.0
397,500.0
398,500.0
399,500.0
