epoch_number,average reward
0,0.3
50,0.44
100,0.38
150,0.26
200,0.38
250,0.26
300,0.4
350,0.88
400,1.34
450,1.26
500,0.94
550,2.88
600,3.58
650,3.68
700,2.48
750,6.18
800,2.3
850,10.0
900,6.96
950,3.66
1000,2.5
1050,2.34
1100,1.86
1150,6.82
1200,2.96
1250,3.06
1300,3.64
1350,4.04
1400,2.26
1450,9.1
1500,3.66
1550,3.22
1600,3.9
1650,7.46
1700,2.8
1750,3.72
1800,2.82
1850,3.36
1900,3.22
1950,2.74
2000,3.5
2050,3.16
2100,7.06
2150,4.04
2200,4.9
2250,5.12
2300,3.36
2350,3.68
2400,3.28
2450,3.96
2500,2.86
2550,4.3
2600,9.82
2650,3.54
2700,4.24
2750,3.04
2800,2.5
2850,2.68
2900,2.42
2950,2.62
3000,3.3
3050,2.58
3100,3.4
3150,5.56
3200,2.88
3250,4.72
3300,8.76
3350,2.74
3400,3.62
3450,3.04
3500,3.68
3550,3.12
3600,3.6
