epoch_number,average reward
0,0.32
50,0.4
100,0.68
150,2.12
200,0.48
250,0.74
300,0.54
350,1.68
400,0.76
450,2.0
500,1.4
550,1.4
600,2.18
650,2.64
700,3.74
750,6.64
800,4.92
850,6.28
900,4.68
950,3.76
1000,6.52
1050,4.44
1100,6.96
1150,6.9
1200,9.7
1250,6.38
1300,7.64
1350,5.06
1400,10.0
1450,9.22
1500,6.6
1550,9.24
1600,5.24
1650,7.92
1700,10.0
1750,9.44
1800,6.52
1850,6.82
1900,10.0
1950,7.2
2000,10.0
2050,8.16
2100,5.78
2150,5.2
2200,6.3
2250,5.28
2300,5.2
2350,10.0
2400,9.38
2450,9.06
2500,5.72
2550,6.0
2600,4.4
2650,8.16
2700,8.56
2750,5.0
2800,5.84
2850,10.0
2900,8.96
2950,6.38
3000,8.04
3050,5.38
3100,5.4
3150,6.02
3200,6.66
3250,7.48
3300,4.88
3350,6.9
3400,4.6
3450,5.32
3500,6.8
3550,10.0
3600,10.0
3650,7.34
3700,10.0
3750,10.0
3800,10.0
3850,8.62
3900,10.0
3950,3.6
4000,3.18
4050,2.92
4100,3.9
4150,4.46
4200,4.08
4250,10.0
4300,4.26
4350,3.46
4400,4.0
4450,6.66
4500,5.38
4550,6.44
4600,7.86
4650,4.4
4700,2.34
4750,4.48
4800,8.36
4850,8.06
4900,10.0
4950,6.64
5000,10.0
5050,10.0
5100,10.0
5150,10.0
5200,10.0
5250,10.0
5300,10.0
5350,6.04
5400,10.0
5450,7.34
5500,8.32
5550,6.18
5600,5.46
5650,5.52
5700,6.14
5750,5.02
5800,5.8
5850,10.0
5900,10.0
5950,10.0
6000,10.0
6050,8.08
6100,10.0
6150,10.0
6200,10.0
6250,10.0
6300,10.0
6350,10.0
6400,10.0
6450,10.0
6500,10.0
6550,10.0
6600,10.0
6650,10.0
6700,10.0
6750,10.0
6800,10.0
6850,10.0
6900,5.22
6950,10.0
7000,10.0
7050,8.5
7100,4.88
7150,4.8
7200,10.0
7250,10.0
7300,10.0
7350,10.0
7400,10.0
7450,10.0
7500,4.34
7550,2.58
7600,2.82
7650,2.92
7700,3.08
7750,6.22
7800,10.0
7850,10.0
7900,4.94
7950,10.0
8000,10.0
8050,10.0
8100,10.0
8150,10.0
8200,10.0
8250,5.02
8300,4.62
8350,3.72
8400,3.84
8450,2.92
8500,1.3
8550,1.32
8600,1.6
8650,1.86
8700,1.66
8750,1.86
8800,1.86
8850,2.58
8900,3.3
8950,4.06
9000,3.98
9050,10.0
9100,10.0
9150,4.96
9200,9.3
9250,5.96
9300,2.6
9350,2.32
9400,4.6
9450,7.64
9500,10.0
9550,10.0
9600,10.0
9650,10.0
9700,10.0
9750,10.0
9800,10.0
9850,10.0
9900,10.0
9950,10.0
