epoch_number,reward
0,-1764.6102500239217
1,-3623.9831569885505
2,-5452.031433063495
3,-6730.438754660383
4,-8139.712004836897
5,-10041.129946359564
6,-11494.5687927614
7,-13165.929607429542
8,-14874.122583379247
9,-16207.050977144292
10,-17566.068733355518
11,-19050.58984036072
12,-20619.54192696933
13,-21541.022727360654
14,-22684.18829699112
15,-24475.492009563717
16,-25557.14533651593
17,-26416.90358007564
18,-28075.457931594567
19,-29100.426129864296
20,-30584.889794618928
21,-31720.25896197282
22,-32776.7676635365
23,-34469.48897699902
24,-36151.281690722164
25,-37836.05601874326
26,-39423.46520610918
27,-41120.84086796952
28,-42468.15695612526
29,-44253.23578169423
30,-45311.86124989042
31,-46601.57825789283
32,-48140.60454362085
33,-49238.4928857521
34,-50871.85030844255
35,-52685.89690783325
36,-54100.86881240889
37,-55596.279185056344
38,-57229.64743158844
39,-58769.34821895551
40,-60275.46536509716
41,-62184.204625831495
42,-64069.92904702248
43,-65879.29384238174
44,-67542.52444333652
45,-69081.94163227915
46,-70695.57286586388
47,-72516.62119326396
48,-74454.25527572601
49,-76312.696256813
50,-78108.17802627088
51,-80060.15014488278
52,-81993.61565425088
53,-83088.28546985665
54,-84922.01514303597
55,-86813.21181004692
56,-88613.98349924128
57,-90364.89668982176
58,-92088.30256016414
59,-93837.49266076183
60,-95563.06480234621
61,-97318.2853408872
62,-98930.84571197233
63,-100697.29443062532
64,-102407.18093000611
65,-104204.57821876874
66,-106009.08838949745
67,-107704.11942266315
68,-109516.52464597052
69,-111105.07990586925
70,-112890.63888454469
71,-114617.90680048693
72,-116201.89124971112
73,-117702.11896508148
74,-119341.5408208633
75,-120993.01548864521
76,-122599.62345119043
77,-124299.01569948443
78,-125975.95278106011
79,-127657.71502435475
80,-129333.78338949432
81,-130382.26965577688
82,-131880.52070286867
83,-133221.26915639167
84,-134453.77088693675
85,-135640.91129344536
86,-137248.60114847097
87,-139029.82539051535
88,-140603.575719995
89,-142313.60016395058
90,-144086.3766290368
91,-145919.5532834333
92,-147570.8876554694
93,-149377.83674526095
94,-151058.43535767423
95,-152799.20726973398
96,-153981.3649157761
97,-155624.34832813952
98,-157465.5591238318
99,-158642.4138648698
100,-159816.74727046167
101,-161593.63313653393
102,-163315.08608033825
103,-164977.89525322168
104,-166161.89064898327
105,-167340.44545364587
106,-168908.5561032366
107,-170607.43511619672
108,-171804.03342397808
109,-173472.85338231904
110,-174664.6635525189
111,-175837.3985212411
112,-177383.03851076693
113,-178994.43616294398
114,-180503.58668728385
115,-182312.78519154942
116,-183826.3180178171
117,-185533.88635873198
118,-186794.86005699
119,-188334.189183142
120,-189692.69427436433
121,-191124.3157116756
122,-192566.46189531736
123,-194011.16462261163
124,-195428.68626341276
125,-196944.54980070627
126,-197851.24503753794
127,-199127.95038920618
128,-200773.12231091558
129,-201955.66686115108
130,-203417.8210097585
131,-204966.0214869068
132,-206071.81200883078
133,-207468.46923825695
134,-208829.5693515543
135,-210219.15768032588
136,-211830.79516493704
137,-213258.45020323375
138,-214698.19418566828
139,-216069.8598362394
140,-217452.22394480027
141,-218916.89707005437
142,-220188.52745303814
143,-221452.76540574437
144,-222863.05534054452
145,-224326.9641099491
146,-225817.63023406663
147,-227387.1592899879
148,-228547.9125628371
149,-229775.73743431576
150,-231084.48654043983
151,-232303.49350254622
152,-233536.89419004493
153,-234985.13098361113
154,-236329.01716241776
155,-237636.3136646012
156,-239004.9661277988
157,-240289.8734816567
158,-241173.0422363085
159,-242314.60677962357
160,-243409.5541248859
161,-244383.90476874352
162,-245498.42842411515
163,-246661.38597829101
164,-247634.93519002997
165,-248623.80747787023
166,-249828.55883402898
167,-250848.1950509374
168,-251624.7587175164
169,-253076.66646610768
170,-254269.04701629438
171,-255653.7638367219
172,-256652.72972781
173,-258213.20715888042
174,-259845.2966932746
175,-261305.10470823335
176,-262785.74817759474
177,-264275.841247741
178,-265798.1195241481
179,-267421.76768001355
180,-269043.72966227104
181,-270548.1651329518
182,-272086.87945591286
183,-273734.9653765846
184,-275367.45150215656
185,-276864.33645219775
186,-278251.2995080363
187,-279742.2991101553
188,-281065.58863192186
189,-282576.24937345716
190,-283830.4919544256
191,-285098.1774844005
192,-286257.28166432015
193,-286978.78610406537
194,-288067.3757399206
195,-289711.3321641022
196,-291331.8603920117
197,-292175.5081532891
198,-293122.79182132776
199,-294295.2763001406
200,-295519.4881540963
201,-296725.45952413126
202,-298225.10616821476
203,-299191.39327330457
