epoch_number,average reward
0,0.45
100,21.83
200,34.09
300,95.69
400,202.87
500,204.66
600,310.52
700,386.28
800,476.54
900,451.38
1000,252.37
1100,325.67
1200,286.5
1300,362.31
1400,361.43
1500,344.59
1600,377.72
1700,223.73
1800,278.36
1900,302.53
2000,254.97
2100,232.21
2200,384.4
2300,248.08
2400,304.28
2500,274.46
2600,181.88
2700,279.73
2800,310.8
2900,316.75
3000,252.33
3100,370.15
3200,247.48
3300,221.2
3400,271.66
3500,354.25
3600,390.05
3700,261.57
3800,322.39
3900,382.07
4000,459.65
4100,180.59
4200,426.11
4300,385.97
4400,439.92
4500,445.82
4600,446.21
4700,343.93
4800,264.56
4900,327.36
5000,273.15
5100,277.36
5200,292.16
5300,425.25
5400,427.56
5500,236.84
5600,169.54
5700,368.17
5800,289.25
5900,374.1
6000,317.63
6100,391.7
6200,442.63
6300,458.7
6400,323.49
6500,369.26
6600,352.91
6700,300.19
6800,201.07
6900,282.66
7000,311.36
7100,295.04
7200,269.4
