epoch_number,reward
0,10.0 
1,21.0 
2,45.0 
3,68.0 
4,105.0 
5,122.0 
6,154.0 
7,183.0 
8,204.0 
9,222.0 
10,244.0 
11,262.0 
12,272.0 
13,338.0 
14,358.0 
15,381.0 
16,397.0 
17,409.0 
18,455.0 
19,471.0 
20,499.0 
21,511.0 
22,535.0 
23,565.0 
24,606.0 
25,628.0 
26,689.0 
27,721.0 
28,755.0 
29,778.0 
30,805.0 
31,819.0 
32,833.0 
33,850.0 
34,866.0 
35,886.0 
36,909.0 
37,936.0 
38,965.0 
39,994.0 
40,1013.0 
41,1030.0 
42,1052.0 
43,1066.0 
44,1106.0 
45,1116.0 
46,1140.0 
47,1167.0 
48,1190.0 
49,1222.0 
50,1237.0 
51,1249.0 
52,1286.0 
53,1315.0 
54,1330.0 
55,1367.0 
56,1395.0 
57,1542.0 
58,1650.0 
59,1713.0 
60,1745.0 
61,1780.0 
62,1807.0 
63,1830.0 
64,1869.0 
65,1942.0 
66,2119.0 
67,2162.0 
68,2253.0 
69,2480.0 
70,2559.0 
71,2593.0 
72,2661.0 
73,2732.0 
74,2813.0 
75,2903.0 
76,2929.0 
77,3077.0 
78,3118.0 
79,3158.0 
80,3288.0 
81,3352.0 
82,3540.0 
83,3606.0 
84,4025.0 
85,4234.0 
86,4408.0 
87,4482.0 
88,4586.0 
89,4838.0 
90,5016.0 
91,5201.0 
92,5385.0 
93,5622.0 
94,5692.0 
95,6031.0 
96,6212.0 
97,6393.0 
98,6446.0 
99,6460.0 
100,6474.0 
101,6488.0 
102,6502.0 
103,6530.0 
104,6559.0 
105,6613.0 
106,6640.0 
107,6686.0 
108,6788.0 
109,6840.0 
110,6903.0 
111,6979.0 
112,7082.0 
113,7189.0 
114,7337.0 
115,7597.0 
116,7940.0 
117,8097.0 
118,8124.0 
119,8202.0 
120,8289.0 
121,8391.0 
122,8451.0 
123,8578.0 
124,8709.0 
125,8838.0 
126,8965.0 
