epoch_number,average reward
0,0.3 
50,19.0 
100,14.8 
150,12.7 
200,20.6 
250,20.6 
300,22.9 
350,19.8 
400,20.7 
450,16.0 
500,20.0 
550,23.1 
600,19.2 
650,19.8 
700,21.9 
750,21.8 
800,21.1 
850,19.3 
900,20.0 
950,17.1 
1000,21.4 
1050,19.9 
1100,23.9 
1150,22.2 
1200,20.0 
1250,22.0 
1300,22.2 
1350,18.4 
1400,19.6 
1450,20.4 
1500,19.8 
1550,15.0 
1600,22.0 
1650,19.2 
1700,19.1 
1750,22.6 
1800,20.6 
1850,21.4 
1900,19.3 
1950,19.6 
2000,24.1 
2050,20.9 
2100,15.9 
2150,14.8 
2200,18.3 
2250,19.8 
2300,21.3 
2350,15.6 
2400,22.2 
2450,21.6 
2500,22.3 
2550,18.5 
2600,23.8 
2650,25.3 
2700,21.6 
2750,19.1 
2800,22.7 
2850,22.5 
2900,18.7 
2950,21.4 
3000,22.1 
3050,17.6 
3100,14.1 
3150,15.9 
3200,19.3 
3250,21.1 
3300,19.1 
3350,21.0 
3400,22.1 
3450,21.0 
3500,21.8 
3550,23.6 
3600,22.4 
3650,20.9 
3700,20.1 
3750,24.2 
3800,23.5 
3850,14.6 
3900,24.7 
3950,21.3 
4000,26.0 
4050,26.2 
4100,26.9 
4150,28.5 
4200,31.3 
4250,33.9 
4300,42.1 
4350,33.9 
4400,41.9 
4450,55.6 
4500,61.1 
4550,70.1 
4600,71.9 
4650,83.5 
4700,115.5 
4750,144.6 
4800,119.5 
4850,205.5 
4900,268.1 
4950,122.7 
5000,240.5 
5050,201.1 
5100,326.5 
5150,236.1 
5200,225.2 
5250,236.6 
5300,306.2 
5350,241.9 
5400,378.9 
5450,344.6 
5500,92.6 
5550,324.0 
5600,215.0 
5650,111.6 
5700,152.1 
5750,157.7 
5800,188.5 
5850,246.4 
5900,259.2 
5950,227.4 
6000,157.8 
6050,168.5 
6100,201.5 
6150,146.3 
6200,150.6 
6250,203.6 
6300,301.2 
6350,178.4 
6400,126.3 
6450,229.8 
6500,242.0 
6550,118.5 
6600,198.3 
6650,152.3 
6700,166.3 
6750,223.0 
6800,132.0 
6850,167.7 
6900,145.2 
6950,217.5 
7000,209.8 
7050,166.5 
7100,223.7 
7150,228.6 
7200,301.5 
7250,427.0 
7300,228.7 
7350,475.5 
7400,102.3 
7450,161.1 
7500,110.4 
7550,108.1 
7600,223.9 
7650,324.1 
7700,290.4 
7750,184.9 
7800,374.7 
7850,205.0 
7900,186.5 
7950,482.4 
8000,176.1 
8050,95.7 
8100,245.3 
8150,205.0 
8200,286.8 
8250,133.7 
8300,222.1 
8350,176.4 
8400,170.5 
8450,162.1 
8500,152.8 
8550,129.2 
8600,134.0 
8650,317.8 
8700,186.7 
8750,182.0 
8800,190.8 
8850,189.5 
8900,193.7 
8950,230.7 
9000,163.4 
9050,155.6 
9100,213.7 
9150,134.7 
9200,123.3 
9250,128.7 
9300,146.8 
9350,150.5 
9400,148.7 
9450,152.7 
9500,162.9 
9550,230.2 
9600,202.6 
9650,199.9 
9700,209.7 
9750,153.4 
9800,179.2 
9850,130.8 
9900,137.5 
9950,168.6 
