epoch_number,average reward
0,0.3 
50,0.4 
100,0.3 
150,0.5 
200,0.7 
250,0.4 
300,2.2 
350,2.0 
400,5.6 
450,2.2 
500,5.8 
550,2.4 
600,3.0 
650,8.9 
700,2.6 
750,4.3 
800,3.9 
850,9.4 
900,0.5 
950,8.8 
1000,3.3 
1050,4.1 
1100,10.0 
1150,3.4 
1200,2.6 
1250,2.4 
1300,2.6 
1350,3.1 
1400,2.8 
1450,3.0 
1500,3.6 
1550,3.3 
1600,7.3 
1650,4.6 
1700,8.5 
1750,3.7 
1800,6.2 
1850,7.6 
1900,10.0 
1950,4.0 
2000,3.3 
2050,3.1 
2100,2.8 
2150,2.7 
2200,6.4 
2250,5.5 
2300,10.0 
2350,3.0 
2400,10.0 
2450,3.1 
2500,10.0 
2550,10.0 
2600,10.0 
2650,0.3 
2700,10.0 
2750,10.0 
2800,5.0 
2850,10.0 
2900,10.0 
2950,5.5 
3000,5.2 
3050,5.7 
3100,4.5 
3150,3.4 
3200,3.7 
3250,2.9 
3300,3.3 
3350,3.4 
3400,3.9 
3450,6.2 
3500,5.5 
3550,6.6 
3600,6.0 
3650,6.5 
3700,10.0 
3750,6.7 
3800,10.0 
3850,10.0 
3900,5.6 
3950,10.0 
4000,10.0 
4050,10.0 
4100,3.3 
4150,5.2 
4200,10.0 
4250,10.0 
4300,10.0 
4350,10.0 
4400,10.0 
4450,3.2 
4500,4.6 
4550,4.9 
4600,9.1 
4650,7.9 
4700,3.3 
4750,10.0 
4800,10.0 
4850,10.0 
4900,10.0 
4950,8.2 
5000,3.9 
5050,3.8 
5100,3.3 
5150,3.5 
5200,3.3 
5250,4.1 
5300,3.2 
5350,3.4 
5400,4.2 
5450,4.2 
5500,7.2 
5550,10.0 
5600,8.5 
5650,6.1 
5700,5.4 
5750,10.0 
5800,9.7 
5850,10.0 
5900,4.3 
5950,5.1 
6000,10.0 
6050,10.0 
6100,10.0 
6150,10.0 
6200,10.0 
6250,10.0 
6300,5.4 
6350,8.5 
6400,7.5 
6450,10.0 
6500,8.4 
6550,10.0 
